Crop_code,Common_name,Latin_name,Major use,Other uses,Crop_comments,DSSAT_code,APSIM_code,AgTrials_code,Photosynthetic pathway,Repro type,Daylength,Vernalization,Harvested part(s),When_harvested,N-fixation,Major planting,Other planting,DSSAT tree node,Default_executable,Default_module,Default_description,Executable_2,Module_2,Description_2,Executable_3,Module_3,Description_3,Executable_4,Module_4,Description_4,Executable_5,Module_5,Description_5,Wikipedia,,,
PPN,Perennial peanut,Arachis spp.,Forage,,,PO,Peanut,,C3,Perennial,,,Shoot,,Y,Seed,,Forages,,,,,,,,,,,,,,,,,,,
PPR,Capsicum pepper,Capsicum annum,Vegetable,,Includes bell and chile,PR,Capsicumpepper,,C3,Annual,,,Fruit,,N,Seed,,Vegetables,DSCSM046,CRGRO,CROPGRO-Bellpepper,,,,,,,,,,,,,en.wikipedia.org/wiki/Capsicum_annuum,,,
PPY,Papaya,Carica papaya,Fruit,,,,,,C3,Annual,,,Fruit,,N,,,Fruit crops,,,,,,,,,,,,,,,,,,,
PRM,Proso millet,Panicum miliaceum,Cereal,,,PM,Prosomillet,,C4,Annual,,,Seed,,N,Seed,,Cereals,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Proso_millet,,,
PRS,Persimmon,Diospyros kaki,Fruit,,,,,,C3,Perennial,,,Fruit,,N,,,Fruit crops,,,,,,,,,,,,,,,,,,,
PST,Pistachio,Pistacia vera,Nut,,,,,,C3,Perennial,,,Seed,,N,,,Nut,,,,,,,,,,,,,,,,,,,
QUN,Quinoa,Chenopodium quinoa,Pseudocereal,,,QU,Quinoa,,C3,Annual,,,Seed,,N,Seed,,Pseudocereal,,,,,,,,,,,,,,,,,,,
RAD,Radish,Raphanus sativus,Vegetable,,,,,,C3,Annual,LD,Y,Root,,N,,,Vegetables,,,,,,,,,,,,,,,,,,,
RAP,Rape,Brassica rapa,Oil seed,,,RA,Rape,,C3,Annual,,,Seed,,N,Seed,,Oil crops,,,,,,,,,,,,,,,,,,,
RCL,Red clover,Trifolium pratense,Forage,,,RC,Redclover,,C3,Perennial,,,Shoot,,Y,Seed,,Forages,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Trifolium_pratense,,,
RHP,Rhizoma peanut,Arachis glabrata,Forage,,,RP,Rhizomapeanut,,C3,Perennial,,,Shoot,,N,Rhizomes,,Forages,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Arachis_glabrata,,,
RIC,Rice,Oryza sativa ,Cereal,,,RI,Rice,Rice,C3,Annual,,,Seed,,N,Transplant,Seed,Cereals,DSCSM046,RICER,CERES-Rice,,RIORZ,,,,,,,,,,,,,,
RYE,Rye,Secale cereale,Cereal,,,RY,,,C3,Annual,LD,Y,Seed,,,Seed,,Cereals,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Rye,,,
RGP,Perennial ryegrass,Lolium perenne,Forage,Turf,,,,,,Perennial,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGA,Annual ryegrass,Lolium multiflorum,Turf,,,,,,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAF,Safflower,Carthamus tinctorius,Oil seed,,,SF,Safflower,,C3,Annual,,,Seed,,N,Seed,,Oil crops,DSCSM046,CRGRO,CROPGRO-Safflower,,,,,,,,,,,,,,,,
SBN,Soybean,Glycine max,Pulse,,,SB,Soybean,Soybean,C3,Annual,,,Seed,,Y,Seed,,Legumes,DSCSM046,CRGRO,CROPGRO-Soybean,,,,,,,,,,,,,,,,
SBT,Sugar beet,Beta vulgaris,Sugar,,,BS,Beetsugar,,C3,Annual,,,Root,,N,Seed,,Sugar/Energy,DSCSM046,BSCER,CERES-Sugarbeet,,,,,,,,,,,,,en.wikipedia.org/wiki/Sugar_beet,,,
SES,Sesame,Sesamum indicum,Oil seed,,,SS,Sesame,,C3,Annual,,,Seed,,N,Seed,,Oil crops,,,,,,,,,,,,,,,,,,,
SGG,Sorghum,Sorghum bicolor ,Cereal,"Forage, bioenergy",,SG,,,C4,Annual,,,Seed,,N,Seed,,Cereals,DSCSM046,SGCER,CERES-Sorghum,,,,,,,,,,,,,,,,
SHL,Shallot,Allium cepa,Vegetable,,,,,,C3,Annual,,,Seed,,N,,,Vegetables,,,,,,,,,,,,,,,,,,,
SPN,Spinach,Spinacia oleracea,Vegetable,,,,,,C3,Annual,LD,,Leaf,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,,,,
SQS,Summer squash,Cucurbita pepo,Vegetable,,,,,,C3,Annual,,,Fruit,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,,,,
SQW,Winter squash,Cucurbita moschata,Vegetable,,,,,,C3,Annual,,,Fruit,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,,,,
STB,Strawberry,Fragaria spp.,Fruit,,,SR,,,C3,Annual,,,Fruit,,N,Runners,,Fruit crops,DSCSM046,CRGRO,CRGRO-Strawberry,,,,,,,,,,,,,en.wikipedia.org/wiki/Strawberry,,,
STR,Shrubs/trees,(various),NA,,,ST,Tree,,C3,Perennial,,,,,N,,,Various,,,,,,,,,,,,,,,,,,,
STV,Stevia,Stevia rebaudiana,Artificial sweetener,,,SV,,,,Perennial,,,Leaves,,N,Seeds,Cuttings,Various,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Stevia_rebaudiana,,,
SUC,Sugarcane,Saccharum spp. ,Sugar,,,SC,Sugar,,C4,Perennial,,,Stem,,N,Stem cutting,,Sugar/Energy,DSCSM046,SCCAN,CANEGRO-Sugarcane,,SCCSP,,,,,,,,,,,,,,
SUN,Sunflower,Helianthus annuus ,Oil seed,,,SU,Sunflower,,C3,Annual,,,Seed,,N,Seed,,Oil crops,DSCSM046,CRGRO,CROPGRO-Sunflower,,,,,,,,,,,,,,,,
SWC,Sweet corn,Zea mays,Vegetable,,,SW,Sweetcorn,,C4,Annual,,,Seed,,N,Seed,,Vegetables,DSCSM046,SWCER,CERES-Sweetcorn,,,,,,,,,,,,,,,,
SWG,Switch grass,Panicum virgatum,Bioenergy,Forage,,SI,Switchgrass,,C3,Perennial,,,Seed,,N,Seed,,Sugar/Energy,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Panicum_virgatum,,,
SWP,Sweet potato,Ipomoea batata,Root crop,,,SP,Sweetpotato,Sweet potato ,C3,Annual,,,Root,Date,N,Stem cutting,"Root cutting, slips",Root Crops,,,,,,,,,,,,,,,,,,,
TAN,Tannier,Xanthosoma spp,Tuber crop,,,TN,Tanier,,C3,Annual,,,Corm,,N,Corm pieces,,Root Crops,DSCSM046,TNARO,AROIDS-Tanier,,,,,,,,,,,,,en.wikipedia.org/wiki/Xanthosoma,,,
TAR,Taro,Colocasia esculenta,Tuber crop,,,TR,Taro,,C3,Annual,,,Tuber,,N,Hulls,Tuber pieces,Root Crops,DSCSM046,TRARO,AROIDS-Taro,,,,,,,,,,,,,en.wikipedia.org/wiki/Taro,,,
TBN,Tepary bean,Phaseolus acutifolius,Pulse,,,TB,Teparybean,,C3,Annual,,,Seed,,Y,Seed,,Legumes,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Phaseolus_acutifolius,,,
